checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tens,floorNdivBpowD,floor(N / B^D),-0.19269762778794894,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.1824420455902393,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_ones,BpowD,B^D,-0.13766371440934044,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_ones,NdivBpowD,N / B^D,-0.19644052211352045,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_ones,floorNdivBpowD,floor(N / B^D),-0.19661299349737432,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.02102710615483936,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_tag,BpowD,B^D,-0.08877021360067502,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_tag,NdivBpowD,N / B^D,-0.1632809643574246,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_tag,floorNdivBpowD,floor(N / B^D),-0.16346196953490505,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,0.027055068038778506,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_ones,BpowD,B^D,0.9723828475334549,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_ones,NdivBpowD,N / B^D,0.8747552543563861,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_ones,floorNdivBpowD,floor(N / B^D),0.8749054610000837,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5553981040472266,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[0],BpowD,B^D,0.8174720665759772,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[0],NdivBpowD,N / B^D,0.9301022349188555,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[0],floorNdivBpowD,floor(N / B^D),0.9301861536987639,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,0.5530025884849978,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[1],BpowD,B^D,0.8244345179352999,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[1],NdivBpowD,N / B^D,0.9101068949746965,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[1],floorNdivBpowD,floor(N / B^D),0.9101834847601789,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.8813091722121881,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,3,2,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
