seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
42,BpowD,B^D,1,0,B_tag,-0.087914015008319,-0.10426591753175476,0.01635190252343577,1.1042659175317548,0.014807939160148484,0.014807939160148484
1337,BpowD,B^D,1,0,B_tag,-0.1344232148530265,-0.10117357930212116,-0.033249635550905335,1.1011735793021211,-0.030194726949385763,0.0
0,BpowD,B^D,2,1,B_tag,-0.14188378468986623,-0.12450128566170257,-0.01738249902816366,1.1245012856617025,-0.015457962787419215,0.0
42,BpowD,B^D,2,1,B_tag,-0.12400149025458367,-0.11062075230777775,-0.013380737946805915,1.1106207523077778,-0.012047981202405819,0.0
1337,BpowD,B^D,2,1,B_tag,-0.1344232181681559,-0.11037034088384239,-0.024052877284313504,1.1103703408838423,-0.021662031485069823,0.0
0,BpowD,B^D,3,2,B_tag,-0.10771720579954783,-0.12230915379701006,0.014591947997462232,1.12230915379701,0.013001718776056112,0.013001718776056112
42,BpowD,B^D,3,2,B_tag,-0.09383186897814451,-0.12400149069196123,0.03016962171381672,1.1240014906919613,0.02684126485921616,0.02684126485921616
1337,BpowD,B^D,3,2,B_tag,-0.05125388999923035,-0.15843433570610937,0.10718044570687903,1.1584343357061093,0.09252181362662089,0.09252181362662089
0,BpowD,B^D,4,3,B_tag,-0.11988200086403729,-0.12076402867811584,0.0008820278140785481,1.1207640286781158,0.0007869879756212868,0.0007869879756212868
42,BpowD,B^D,4,3,B_tag,-0.10426591741052467,-0.14256843271449515,0.03830251530397048,1.1425684327144952,0.033523169560156676,0.033523169560156676
1337,BpowD,B^D,4,3,B_tag,-0.10117357860552816,-0.10855640708243293,0.007382828476904774,1.108556407082433,0.006659858199128862,0.006659858199128862
0,BpowD,B^D,5,4,B_tag,-0.10374492776283044,-0.1390932337078727,0.03534830594504225,1.1390932337078727,0.031031969025028493,0.031031969025028493
42,BpowD,B^D,5,4,B_tag,-0.12698298116922185,-0.10941731947932629,-0.017565661689895568,1.1094173194793262,-0.015833231897028177,0.0
1337,BpowD,B^D,5,4,B_tag,-0.1344232185167741,-0.08450352970137116,-0.04991968881540294,1.0845035297013712,-0.046029992017775016,0.0
0,BpowD,B^D,6,5,B_tag,-0.10617208068775445,-0.12729183658658055,0.0211197558988261,1.1272918365865805,0.018734949738282807,0.018734949738282807
42,BpowD,B^D,6,5,B_tag,-0.10647063036099032,-0.11239881017761984,0.00592817981662952,1.1123988101776199,0.005329185686276445,0.005329185686276445
1337,BpowD,B^D,6,5,B_tag,-0.07642382162761288,-0.13442321832011994,0.05799939669250706,1.13442321832012,0.051126771522178385,0.051126771522178385
0,BpowD,B^D,7,6,B_tag,-0.09721711984687116,-0.11833687575049204,0.021119755903620877,1.1183368757504921,0.018884967813877957,0.018884967813877957
42,BpowD,B^D,7,6,B_tag,-0.10824868823233635,-0.12798426153163237,0.01973557329929601,1.1279842615316324,0.017496319738094644,0.017496319738094644
1337,BpowD,B^D,7,6,B_tag,-0.1251846961513289,-0.11148739504726661,-0.013697301104062296,1.1114873950472666,-0.012323397606753616,0.0
0,BpowD,B^D,8,7,B_tag,-0.12509970470572393,-0.10095437685426001,-0.02414532785146392,1.10095437685426,-0.021931270140779127,0.0
